 ,Player,Id,Pos,Age,Tm,G,MP,PER?,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,COMB
155,Iman Shumpert,shumpim01,SG,28,SAC,7,132,15.1,0.665,0.595,0.167,0.8,12.3,6.6,7.7,1.7,1.9,10,15.7,0.3,0.1,0.4,0.138,2.7,-0.7,2.1,0.1,5.63
156,Monte Morris,morrimo01,PG,23,DEN,6,132,15,0.479,0.269,0.192,2.4,8.9,5.6,25.4,2.9,0,6.6,18.9,0.1,0.2,0.4,0.132,-0.6,1.2,0.6,0.1,5.18
157,Nik Stauskas,stausni01,SG,25,POR,7,157,15,0.62,0.538,0.231,2.8,10,6.7,12.5,0.6,0.5,10.9,17.4,0.4,0.1,0.5,0.151,2.7,-1.2,1.6,0.1,6.48
158,Goran Dragic,dragigo01,PG,32,MIA,7,222,14.9,0.542,0.437,0.252,2.3,8.8,5.6,24.8,0.6,0.7,12.3,23.7,0.3,0.1,0.5,0.099,2.1,-1.2,0.9,0.2,7.27
159,Garrett Temple,templga01,SG,32,MEM,6,182,14.9,0.64,0.534,0.362,1.8,11.8,6.8,7.2,1.4,1.5,9.4,18.3,0.3,0.3,0.6,0.151,1.1,0.1,1.3,0.2,8.39
160,Paul Millsap,millspa01,PF,33,DEN,6,166,14.9,0.506,0.218,0.545,10.2,21.8,16,6.6,2,4.3,15,20,0,0.4,0.4,0.108,-3.4,4.1,0.8,0.1,5.24
161,Donovan Mitchell,mitchdo01,SG,22,UTA,6,215,14.9,0.546,0.391,0.209,1.1,6.9,4.2,21.5,1.8,0.4,13.1,28.9,0,0.3,0.3,0.07,0.3,-0.4,-0.2,0.1,3.94
162,Frank Jackson,jacksfr01,PG,20,NOP,4,57,14.9,0.605,0.35,0.45,0,3.7,1.9,11,0.8,0,0,16.8,0.2,0,0.2,0.147,2.8,-4.7,-1.9,0,1.43
163,Rodney Hood,hoodro01,SG,26,CLE,7,194,14.9,0.532,0.224,0.188,2.2,8.8,5.3,10.4,2,0,4.2,20.6,0.3,0,0.3,0.081,0.7,-3.7,-3,-0.1,1.1
164,JaMychal Green,greenja01,PF,28,MEM,2,39,14.8,0.472,0.133,0.133,11.4,23.3,17.2,17.2,5.1,0,20.1,22.8,-0.1,0.1,0.1,0.066,-3.4,4.3,0.9,0,1.27
165,Derrick Rose,rosede01,PG,30,MIN,7,199,14.8,0.463,0.198,0.281,5.6,9.1,7.3,26.3,1.2,0.4,7.7,23.8,0.2,0,0.2,0.036,0,-2.6,-2.5,0,1.25
166,Al Horford,horfoal01,C,32,BOS,7,205,14.7,0.518,0.431,0.167,6.6,16.2,11.4,19.5,1.2,4.1,14.4,18.8,0.1,0.6,0.6,0.147,-0.8,5.2,4.4,0.3,10.32
167,Hamidou Diallo,diallha01,SG,20,OKC,5,69,14.7,0.517,0.125,0.292,8.4,10.8,9.6,6.4,3.3,3.5,10,17.1,0.1,0.1,0.2,0.119,-2,3.1,1,0.1,3.3
168,Elie Okobo,okoboel01,PG,21,PHO,4,60,14.7,0.68,0.6,0.4,3.7,5.8,4.7,26.4,0,0,17.5,20.7,0.2,0,0.1,0.113,3.3,-5.8,-2.4,0,0.28
169,Luka Doncic,doncilu01,SF,19,DAL,7,250,14.6,0.579,0.45,0.303,3,18.1,10.1,17.7,1.1,1,19.5,25.4,0,0.1,0.1,0.02,-0.5,-1.8,-2.3,0,0.31
